Plant;
SN of Inverter;
Time;Power(W)
28/03/2025 13.31;1339
28/03/2025 13.32;1431
28/03/2025 13.33;1509
28/03/2025 13.34;1435
28/03/2025 13.35;1340
28/03/2025 13.36;1259
28/03/2025 13.37;1274
28/03/2025 13.38;1450
28/03/2025 13.39;1270
28/03/2025 13.40;1341
28/03/2025 13.41;1293
28/03/2025 13.42;1289
28/03/2025 13.43;1181
28/03/2025 13.44;1133
28/03/2025 13.45;1218
28/03/2025 13.46;1352
28/03/2025 13.47;1395
28/03/2025 13.48;1334
28/03/2025 13.49;1460
28/03/2025 13.50;1517
28/03/2025 13.51;1418
28/03/2025 13.52;1455
28/03/2025 13.53;1495
28/03/2025 13.54;1408
28/03/2025 13.55;1378
28/03/2025 13.56;1411
28/03/2025 13.57;1355
28/03/2025 13.58;1222
28/03/2025 13.59;1200
28/03/2025 14.00;1125
28/03/2025 14.01;1193
28/03/2025 14.02;1194
28/03/2025 14.03;1220
28/03/2025 14.04;1235
28/03/2025 14.05;1231
28/03/2025 14.06;1325
28/03/2025 14.07;1440
28/03/2025 14.08;1471
28/03/2025 14.09;1359
28/03/2025 14.10;1318
28/03/2025 14.11;1421
28/03/2025 14.12;1396
28/03/2025 14.13;1376
28/03/2025 14.14;1329
28/03/2025 14.15;1324
28/03/2025 14.16;1202
28/03/2025 14.17;1239
28/03/2025 14.18;1454
28/03/2025 14.19;1310
28/03/2025 14.20;1244
28/03/2025 14.21;1281
28/03/2025 14.22;1307
28/03/2025 14.23;1265
28/03/2025 14.24;1186
28/03/2025 14.25;1372
28/03/2025 14.26;1330
28/03/2025 14.27;1268
28/03/2025 14.28;1221
28/03/2025 14.29;1276
28/03/2025 14.30;1373
28/03/2025 14.31;1386
28/03/2025 14.32;1337
28/03/2025 14.33;1298
28/03/2025 14.34;1312
28/03/2025 14.35;1199
28/03/2025 14.36;1176
28/03/2025 14.37;1257
28/03/2025 14.38;1231
28/03/2025 14.39;1254
28/03/2025 14.40;1234
28/03/2025 14.41;1368
28/03/2025 14.42;1286
28/03/2025 14.43;1255
28/03/2025 14.44;1137
28/03/2025 14.45;1135
28/03/2025 14.46;1196
28/03/2025 14.47;1184
28/03/2025 14.48;1098
28/03/2025 14.49;1065
28/03/2025 14.50;1133
28/03/2025 14.51;1042
28/03/2025 14.52;1059
28/03/2025 14.53;1060
28/03/2025 14.54;1027
28/03/2025 14.55;1065
28/03/2025 14.56;1050
28/03/2025 14.57;1082
28/03/2025 14.58;1097
28/03/2025 14.59;1033
28/03/2025 15.00;1107
28/03/2025 15.01;1109
28/03/2025 15.02;1078
28/03/2025 15.03;1138
28/03/2025 15.04;1059
28/03/2025 15.05;979
28/03/2025 15.06;1008
28/03/2025 15.07;976
28/03/2025 15.08;1007
28/03/2025 15.09;991
28/03/2025 15.10;918
28/03/2025 15.11;909
28/03/2025 15.12;901
28/03/2025 15.13;877
28/03/2025 15.14;953
28/03/2025 15.15;961
28/03/2025 15.16;988
28/03/2025 15.17;902
28/03/2025 15.18;985
28/03/2025 15.19;878
28/03/2025 15.20;808
28/03/2025 15.21;830
28/03/2025 15.22;852
28/03/2025 15.23;935
28/03/2025 15.24;896
28/03/2025 15.25;907
28/03/2025 15.26;873
28/03/2025 15.27;827
28/03/2025 15.28;833
28/03/2025 15.29;804
28/03/2025 15.30;847
28/03/2025 15.31;817
28/03/2025 15.32;838
28/03/2025 15.33;869
28/03/2025 15.34;868
28/03/2025 15.35;829
28/03/2025 15.36;808
28/03/2025 15.37;841
28/03/2025 15.38;845
28/03/2025 15.39;846
28/03/2025 15.40;819
28/03/2025 15.41;877
28/03/2025 15.42;810
28/03/2025 15.43;827
28/03/2025 15.44;856
28/03/2025 15.45;744
28/03/2025 15.46;774
28/03/2025 15.47;780
28/03/2025 15.48;754
28/03/2025 15.49;738
28/03/2025 15.50;814
28/03/2025 15.51;896
28/03/2025 15.52;925
28/03/2025 15.53;846
28/03/2025 15.54;900
28/03/2025 15.55;876
28/03/2025 15.56;802
28/03/2025 15.57;817
28/03/2025 15.58;850
28/03/2025 15.59;826
28/03/2025 16.00;804
28/03/2025 16.01;702
28/03/2025 16.02;752
28/03/2025 16.03;760
28/03/2025 16.04;758
28/03/2025 16.05;759
28/03/2025 16.06;808
28/03/2025 16.07;836
28/03/2025 16.08;770
28/03/2025 16.09;776
28/03/2025 16.10;746
28/03/2025 16.11;800
28/03/2025 16.12;776
28/03/2025 16.13;892
28/03/2025 16.14;757
28/03/2025 16.15;813
28/03/2025 16.16;910
28/03/2025 16.17;1032
28/03/2025 16.18;855
28/03/2025 16.19;785
28/03/2025 16.20;872
28/03/2025 16.21;921
28/03/2025 16.22;839
28/03/2025 16.23;748
28/03/2025 16.24;726
28/03/2025 16.25;790
28/03/2025 16.26;778
28/03/2025 16.27;686
28/03/2025 16.28;713
28/03/2025 16.29;678
28/03/2025 16.30;804
28/03/2025 16.31;819
28/03/2025 16.32;821
28/03/2025 16.33;754
28/03/2025 16.34;657
28/03/2025 16.35;650
28/03/2025 16.36;690
28/03/2025 16.37;672
28/03/2025 16.38;665
28/03/2025 16.39;526
28/03/2025 16.40;557
28/03/2025 16.41;478
28/03/2025 16.42;525
28/03/2025 16.43;583
28/03/2025 16.44;535
28/03/2025 16.45;468
28/03/2025 16.46;395
28/03/2025 16.47;402
28/03/2025 16.48;429
28/03/2025 16.49;522
28/03/2025 16.50;607
28/03/2025 16.51;618
28/03/2025 16.52;631
28/03/2025 16.53;585
28/03/2025 16.54;595
28/03/2025 16.55;519
28/03/2025 16.56;619
28/03/2025 16.57;555
28/03/2025 16.58;505
28/03/2025 16.59;551
28/03/2025 17.00;585
28/03/2025 17.01;604
28/03/2025 17.02;607
28/03/2025 17.03;591
28/03/2025 17.04;632
28/03/2025 17.05;691
28/03/2025 17.06;716
28/03/2025 17.07;830
28/03/2025 17.08;786
28/03/2025 17.09;687
28/03/2025 17.10;706
28/03/2025 17.11;641
28/03/2025 17.12;594
28/03/2025 17.13;570
28/03/2025 17.14;529
28/03/2025 17.15;552
28/03/2025 17.16;519
28/03/2025 17.17;526
28/03/2025 17.18;539
28/03/2025 17.19;491
28/03/2025 17.20;548
28/03/2025 17.21;603
28/03/2025 17.22;605
28/03/2025 17.23;572
28/03/2025 17.24;633
28/03/2025 17.25;590
28/03/2025 17.26;582
28/03/2025 17.27;426
28/03/2025 17.28;494
28/03/2025 17.29;566
28/03/2025 17.30;614
28/03/2025 17.31;613
28/03/2025 17.32;582
28/03/2025 17.33;455
28/03/2025 17.34;543
28/03/2025 17.35;566
28/03/2025 17.36;644
28/03/2025 17.37;635
28/03/2025 17.38;613
28/03/2025 17.39;532
28/03/2025 17.40;510
28/03/2025 17.41;505
28/03/2025 17.42;477
28/03/2025 17.43;473
28/03/2025 17.44;463
28/03/2025 17.45;401
28/03/2025 17.46;357
28/03/2025 17.47;408
28/03/2025 17.48;373
28/03/2025 17.49;420
28/03/2025 17.50;407
28/03/2025 17.51;430
28/03/2025 17.52;354
28/03/2025 17.53;409
28/03/2025 17.54;345
28/03/2025 17.55;362
28/03/2025 17.56;385
28/03/2025 17.57;362
28/03/2025 17.58;362
28/03/2025 17.59;334
28/03/2025 18.00;346
28/03/2025 18.01;344
28/03/2025 18.02;335
28/03/2025 18.03;360
28/03/2025 18.04;323
28/03/2025 18.05;348
28/03/2025 18.06;347
28/03/2025 18.07;376
28/03/2025 18.08;407
28/03/2025 18.09;348
28/03/2025 18.10;366
28/03/2025 18.11;326
28/03/2025 18.12;333
28/03/2025 18.13;328
28/03/2025 18.14;345
28/03/2025 18.15;382
28/03/2025 18.16;362
28/03/2025 18.17;333
28/03/2025 18.18;359
28/03/2025 18.19;315
28/03/2025 18.20;315
28/03/2025 18.22;363
28/03/2025 18.23;393
28/03/2025 18.24;333
28/03/2025 18.25;305
28/03/2025 18.26;362
28/03/2025 18.27;304
28/03/2025 18.28;301
28/03/2025 18.29;322
28/03/2025 18.30;299
28/03/2025 18.31;331
28/03/2025 18.32;301
28/03/2025 18.33;321
28/03/2025 18.34;325
28/03/2025 18.35;310
28/03/2025 18.36;281
28/03/2025 18.37;276
28/03/2025 18.38;273
28/03/2025 18.39;294
28/03/2025 18.40;266
28/03/2025 18.41;222
28/03/2025 18.42;220
28/03/2025 18.43;193
28/03/2025 18.44;223
28/03/2025 18.45;208
28/03/2025 18.46;254
28/03/2025 18.47;260
28/03/2025 18.48;262
28/03/2025 18.49;266
28/03/2025 18.50;283
28/03/2025 18.51;234
28/03/2025 18.52;262
28/03/2025 18.53;253
28/03/2025 18.54;280
28/03/2025 18.55;226
28/03/2025 18.56;315
28/03/2025 18.57;228
28/03/2025 18.58;264
28/03/2025 18.59;284
28/03/2025 19.00;237
28/03/2025 19.01;251
28/03/2025 19.02;204
28/03/2025 19.03;188
28/03/2025 19.04;181
28/03/2025 19.05;177
28/03/2025 19.06;182
28/03/2025 19.07;165
28/03/2025 19.08;174
28/03/2025 19.09;185
28/03/2025 19.10;166
28/03/2025 19.11;142
28/03/2025 19.12;140
28/03/2025 19.13;160
28/03/2025 19.14;146
28/03/2025 19.15;107
28/03/2025 19.16;120
28/03/2025 19.17;124
28/03/2025 19.18;135
28/03/2025 19.19;128
28/03/2025 19.20;107
28/03/2025 19.21;127
28/03/2025 19.22;107
28/03/2025 19.23;100
28/03/2025 19.24;104
28/03/2025 19.25;125
28/03/2025 19.26;127
28/03/2025 19.27;112
28/03/2025 19.28;117
28/03/2025 19.29;124
28/03/2025 19.30;88
28/03/2025 19.31;84
28/03/2025 19.32;79
28/03/2025 19.33;74
28/03/2025 19.34;68
28/03/2025 19.35;53
28/03/2025 19.36;42
28/03/2025 19.37;43
28/03/2025 19.38;44
28/03/2025 19.39;43
28/03/2025 19.40;19
28/03/2025 19.41;17
28/03/2025 19.42;33
28/03/2025 19.43;26
28/03/2025 19.44;21
28/03/2025 19.45;16
28/03/2025 19.46;14
28/03/2025 19.47;12
28/03/2025 19.48;11
28/03/2025 19.49;11
28/03/2025 19.50;9
28/03/2025 19.51;10
28/03/2025 19.52;8
28/03/2025 19.53;9
28/03/2025 19.54;7
28/03/2025 19.55;9
28/03/2025 19.56;7
28/03/2025 19.57;8
28/03/2025 19.58;6
28/03/2025 19.59;4
28/03/2025 20.00;4
28/03/2025 20.01;6
